transaction_id,customer_id,price,quantity
1,103,93.18200868248499,13
2,436,56.86394105162081,10
3,861,215.37672547660694,6
4,271,65.51680615515117,11
5,107,94.23715328628113,4
6,72,278.1890953263482,14
7,701,90.65364411279161,17
8,21,41.3010860411424,2
9,615,165.52053651366376,10
10,122,117.95635832476408,3
11,467,262.4995421172446,7
12,215,60.15987144577256,7
13,331,378.3676859646593,1
14,459,454.0544245232179,8
15,88,374.28323523853527,1
16,373,271.0852483266832,8
17,100,431.7272326765537,14
18,872,350.5100060929387,14
19,664,15.17005000059303,2
20,131,203.10417485950651,8
21,662,426.96643070933203,19
22,309,179.47084040788195,10
23,770,27.255435027506515,7
24,344,375.6280228906134,13
25,492,402.9987524386056,15
26,414,88.6909105712212,11
27,806,273.2968434531588,14
28,386,104.05816510790562,11
29,192,362.4248653316319,2
30,956,143.05972303696797,2
31,277,164.94541005603173,12
32,161,424.03571828364966,15
33,460,243.39795258138312,17
34,314,338.17968109694147,14
35,22,207.16279485400915,16
36,253,156.02336002494016,8
37,748,316.48424960808404,17
38,857,85.88021129862243,5
39,561,192.76991942776286,12
40,475,112.42814831910192,6
41,59,350.9395338009653,18
42,511,472.6623307895927,5
43,682,497.80037432777453,6
44,476,230.63563711637946,9
45,700,133.7398909218578,15
46,976,226.98639148831882,10
47,783,425.16201088173466,17
48,190,110.94278249049954,19
49,958,476.52686930993264,12
50,687,177.51422671109398,9
51,958,493.0437931306494,15
52,563,420.9183548916415,14
53,876,406.19956173222124,1
54,567,165.77329014890896,17
55,244,14.300833854485438,1
56,832,197.24512532473403,13
57,505,157.8865911347199,8
58,131,28.324525300310672,13
59,485,257.62897568790555,16
60,819,207.48534252854094,2
61,647,320.9326691933471,13
62,21,314.38129787510076,18
63,841,69.16585158937326,3
64,167,488.71311760204503,13
65,274,101.59640042630899,19
66,388,228.18427213470522,13
67,601,249.17759628253012,19
68,316,408.40077063491884,4
69,14,58.62250208637691,19
70,242,220.03569681218056,18
71,777,317.96606341573994,6
72,346,115.42625459578721,19
73,565,317.45927039537565,4
74,898,462.5957703993298,4
75,340,498.7838842746107,7
76,92,25.901027627431098,7
77,367,125.43823183989198,16
78,956,162.05048673793175,16
79,455,205.5717892180334,5
80,428,128.70600721653602,15
81,509,109.70911733210313,4
82,776,477.731382784575,13
83,943,460.07558535755373,19
84,35,33.02632549152756,7
85,206,176.0183805863756,12
86,81,208.52279130241925,9
87,932,127.11712198631224,17
