country,total_production,avg_renewable_share,growth_rate_pct,num_renewable_types,production_2010,production_2022
Australia,566977.1839010001,0.041603466220003146,295.2373254471345,5,22322.034,88225.010167
Austria,605000.055411,0.16307535480000393,12.52065713965345,5,41550.133,46752.482694000006
Belgium,147785.76961699998,0.037981123132939915,485.0983394325141,5,3491.9990000000003,20431.628161999997
Canada,5294722.442994,0.15556871872476633,22.312469870958083,5,356899.002,436531.98429100006
Chile,374869.036588,0.10931574312586505,112.90786551605463,5,21973.002,46782.24954799999
Czech Republic,74454.570224,0.02055024266939708,42.35981684214772,5,4313.001,6139.980324
Denmark,184858.413991,0.13200695353325162,167.42817652582355,5,7835.9980000000005,20955.666564000003
Estonia,8841.941713,0.027194343728912225,242.60393352675308,5,304.002,1041.52281
Finland,238848.930359,0.07592015009672155,96.74451797758856,5,13041.738000000001,25658.904564
France,1254260.3897350002,0.036916070349913774,39.85881026676253,5,77733.56,108717.23219400001
Germany,1919982.968285,0.059165820166574505,168.0127283382425,5,76511.001,205059.221259
Greece,189251.787656,0.08234757933350735,119.1590782286533,5,10328.006,22634.762749000005
Hungary,25192.685539000002,0.016648635678501354,657.6707413586795,5,707.849,5363.164766
IEA Total,30329109.322748996,0.04507969481529876,80.09418361932352,5,1708182.984,3076338.1997589995
Iceland,238577.395604,0.29540874431436376,17.926841431368945,5,16743.999,19745.66915
Ireland,105656.838514,0.07495048530750625,259.41694035859365,5,3583.1649999999995,12878.502011
Italy,1154704.889244,0.07383160321412538,19.12270876943034,5,69763.243,83103.864787
Japan,1796962.141316,0.03160295876832737,82.94863036552577,5,102107.608,186804.47033500002
Korea,239246.627858,0.008355892010791269,412.95501973859155,5,7994.997999999999,41010.743569
Latvia,37758.745863000004,0.1339671255107192,-17.1287055083254,5,3536.701,2930.9099010000004
Lithuania,27031.882738,0.14253784828926566,77.97418035440704,5,1497.995,2666.0443229999996
Luxembourg,19799.384332,0.15188866128403083,8.948647733919914,5,1533.4629999999997,1670.687202
Mexico,669459.3076439999,0.03842252602231247,62.655184216079995,5,44351.72,72140.371869
Netherlands,183662.557761,0.03046758695009955,837.7565797899283,5,4154.008,38954.48334500001
New Zealand,439628.965861,0.18319489234611966,15.708799904850283,5,31638.558000000005,36608.59576900001
Norway,1806638.3512940002,0.2754808605752665,22.28287150960766,5,117548.999,143742.291408
OECD Americas,14844171.458901001,0.04536825402137608,89.00438061735234,5,821212.7220000001,1552128.0187669997
OECD Asia Oceania,3042813.9229459995,0.026583010143193815,114.94693761059077,5,164063.198,352648.819847
OECD Europe,13667020.71201,0.06084480841908818,71.53667293512555,5,769809.6240000002,1320505.816944
OECD Total,31554006.093865,0.04611233946165954,83.76783209183563,5,1755085.5440000002,3225282.6555660004
Poland,189452.917051,0.02307175800702161,473.429464709316,5,5124.001,29382.531506
Portugal,328172.205406,0.11086597123781328,-1.4350977481834077,5,25830.301,25459.610932000003
Republic of Turkiye,1124345.159418,0.06772297893952374,129.13457425946805,5,54898.00299999999,125790.305451
Slovak Republic,61749.456766,0.052157294597844156,-26.26132226674401,5,5601.003,4130.105552
Slovenia,62636.200368000005,0.09019352922638983,-16.223328223834727,5,4648.857999999998,3894.658508
Spain,1288005.911593,0.09909143673567386,21.690161210793306,5,95036.99899999998,115650.677293
Sweden,1094915.5788460001,0.1476131336859489,53.348586290845326,5,69877.598,107156.308667
Switzerland,514958.392006,0.14517129797784736,0.4070233928871762,5,37580.996,37733.95944499999
United Kingdom,780477.332684,0.039635910750915125,503.89016139547886,5,17033.005,102860.641385
United States,7994065.278982,0.034728611941779806,131.43414742309037,5,397988.99799999996,921082.4443590001
Colombia,486460.90993400005,0.18092957956400071,,5,0.0,63306.502940000006
Argentina,275106.68773999996,0.05505812797736986,,5,0.0,40908.874409
Brazil,3502996.1358980006,0.15422160162771364,,5,0.0,530930.6584569999
Bulgaria,58099.854563,0.04379179931236878,,5,0.0,7235.949295
Croatia,63749.04952799999,0.1502584849241383,,5,0.0,7978.761607
Cyprus,4010.870958,0.030707819556509634,,5,0.0,827.862936
India,2062017.404758,0.036041528095249714,,5,0.0,342149.47782499995
Malta,1499.606037,0.03717785640864885,,5,0.0,255.94600100000002
North Macedonia,12819.651692,0.0770079897601628,,5,0.0,1481.7055879999998
Romania,199266.918098,0.10074985851939032,,5,0.0,23068.066253999998
Serbia,88214.524663,0.08143592677376973,,5,0.0,10159.734071
Costa Rica,24594.482759,0.24564999125773182,,4,0.0,12284.46576
